date,day,Incoming Calls,Answered Calls,Answer Rate,Abandoned Calls,Answer Speed (AVG),Talk Duration (AVG),Waiting Time (AVG),Service Level (20 Seconds)
1/24/2023,Wednesday,14100,13500,95.74%,600,0:00:23,0:02:06,0:02:15,66.91%
1/25/2023,Thursday,14600,14300,97.95%,300,0:00:17,0:01:57,0:02:27,78.32%
1/26/2023,Friday,14400,14000,97.22%,400,0:00:12,0:01:53,0:02:05,84.03%
1/27/2023,Saturday,10500,10300,98.10%,200,0:00:17,0:01:55,0:02:01,76.19%
1/28/2023,Sunday,19700,3500,97.22%,16200,0:00:16,0:01:54,0:01:31,77.14%
1/29/2023,Monday,19700,5700,93.44%,14000,0:00:04,0:02:00,0:03:41,91.67%
1/30/2023,Tuesday,19700,5800,96.67%,13900,0:00:11,0:02:08,0:01:34,85.00%
1/31/2023,Wednesday,19700,1700,94.44%,18000,0:00:05,0:02:39,0:00:20,100.00%
2/1/2023,Thursday,20600,20200,98.06%,400,0:00:09,0:01:54,0:01:10,89.27%
2/2/2023,Friday,19400,19300,99.48%,100,0:00:11,0:01:57,0:01:34,84.97%
2/3/2023,Saturday,20600,20000,97.09%,600,0:00:10,0:02:08,0:02:00,86.27%
2/4/2023,Sunday,19700,5300,100.00%,14400,0:00:18,0:02:08,0:02:10,77.36%
2/5/2023,Monday,14700,14500,98.64%,200,0:00:09,0:01:50,0:01:24,88.36%
2/6/2023,Tuesday,20100,19700,98.01%,400,0:00:09,0:01:59,0:02:23,90.95%
2/7/2023,Wednesday,20200,19800,98.02%,400,0:00:10,0:02:09,0:01:11,88.50%
2/8/2023,Thursday,22600,21900,96.90%,700,0:00:10,0:02:12,0:02:45,88.00%
2/9/2023,Friday,16700,16300,97.60%,400,0:00:07,0:02:09,0:01:50,92.77%
2/10/2023,Saturday,16400,16400,100.00%,0,0:00:11,0:02:17,0:01:45,89.02%
2/11/2023,Sunday,19700,4100,97.62%,15600,0:00:11,0:02:09,0:01:18,87.80%
2/12/2023,Monday,,,,,,,,
2/13/2023,Tuesday,16500,16200,98.18%,300,0:00:09,0:02:09,0:01:50,89.70%
2/14/2023,Wednesday,18000,17400,96.67%,600,0:00:16,0:02:16,0:01:43,77.78%
2/15/2023,Thursday,17900,17600,98.32%,300,0:00:10,0:02:26,0:01:50,87.64%
2/16/2023,Friday,21700,21500,99.08%,200,0:00:08,0:02:08,0:02:07,91.71%
2/17/2023,Saturday,17100,16700,97.66%,400,0:00:10,0:02:15,0:01:50,86.47%
2/18/2023,Sunday,19700,3700,100.00%,16000,0:00:09,0:01:57,0:01:22,86.49%
2/19/2023,Monday,21500,20600,95.81%,900,0:00:18,0:02:09,0:02:45,80.95%
2/20/2023,Tuesday,21800,21200,97.25%,600,0:00:16,0:02:17,0:02:09,84.26%
2/21/2023,Wednesday,20500,20200,98.54%,300,0:00:11,0:02:25,0:01:37,90.69%
2/22/2023,Thursday,19500,19000,97.44%,500,0:00:12,0:02:22,0:01:14,89.01%
2/23/2023,Friday,18100,17600,97.24%,500,0:00:13,0:02:13,0:01:16,82.22%
2/24/2023,Saturday,21200,20600,97.17%,600,0:00:11,0:02:20,0:01:49,89.42%
2/25/2023,Sunday,19700,3200,96.97%,16500,0:00:08,0:02:28,0:00:55,90.91%
2/26/2023,Monday,29800,28700,96.31%,1100,0:00:13,0:01:35,0:02:51,83.33%
2/27/2023,Tuesday,15800,15600,98.73%,200,0:00:11,0:02:23,0:01:32,89.81%
2/28/2023,Wednesday,15600,15400,98.72%,200,0:00:12,0:02:13,0:01:01,85.81%
3/1/2023,Thursday,16300,16300,100.00%,0,0:00:10,0:02:02,0:02:46,92.64%
3/2/2023,Friday,19700,9800,100.00%,9900,0:00:07,0:02:10,0:01:10,93.88%
3/3/2023,Saturday,25500,24900,97.65%,600,0:00:15,0:02:19,0:05:31,82.68%
3/4/2023,Sunday,19700,4900,98.00%,14800,0:00:08,0:02:02,0:00:57,92.00%
3/5/2023,Monday,29000,28900,99.66%,100,0:00:12,0:02:01,0:01:10,89.27%
3/6/2023,Tuesday,29600,28100,94.93%,1500,0:00:22,0:02:08,0:04:30,73.54%
3/7/2023,Wednesday,26000,25700,98.85%,300,0:00:17,0:02:13,0:01:20,87.16%
3/8/2023,Thursday,20100,19300,96.02%,800,0:00:19,0:02:23,0:02:02,76.77%
3/9/2023,Friday,13200,13100,99.24%,100,0:00:17,0:02:13,0:01:30,76.52%
3/10/2023,Saturday,16700,16500,98.80%,200,0:00:09,0:02:06,0:00:57,92.12%
3/11/2023,Sunday,19700,7900,92.94%,11800,0:00:18,0:02:25,0:01:53,77.38%
3/12/2023,Monday,24400,23600,96.72%,800,0:00:21,0:02:29,0:01:56,75.62%
3/13/2023,Tuesday,18600,18200,97.85%,400,0:00:14,0:02:13,0:01:38,79.03%
3/14/2023,Wednesday,27800,26400,94.96%,1400,0:00:19,0:02:20,0:02:10,76.84%
3/15/2023,Thursday,27200,26800,98.53%,400,0:00:15,0:02:30,0:01:45,80.00%
3/16/2023,Friday,21800,20600,94.50%,1200,0:00:25,0:02:21,0:03:41,67.28%
3/17/2023,Saturday,15200,14800,97.37%,400,0:00:14,0:02:18,0:01:25,83.33%
3/18/2023,Sunday,19700,4300,89.58%,15400,0:00:22,0:02:01,0:01:21,69.57%
3/19/2023,Monday,18600,18100,97.31%,500,0:00:14,0:02:20,0:01:49,84.95%
3/20/2023,Tuesday,18200,18000,98.90%,200,0:00:08,0:02:10,0:00:58,93.37%
3/21/2023,Wednesday,19200,18800,97.92%,400,0:00:20,0:01:58,0:01:56,76.19%
3/22/2023,Thursday,15500,14800,95.48%,700,0:00:14,0:02:24,0:02:18,85.33%
3/23/2023,Friday,14400,14200,98.61%,200,0:00:11,0:02:19,0:01:05,90.21%
3/24/2023,Saturday,16400,16200,98.78%,200,0:00:12,0:02:35,0:01:50,85.37%
3/25/2023,Sunday,,,,,,,,
3/26/2023,Monday,17700,17500,98.87%,200,0:00:11,0:02:19,0:01:35,90.86%
3/27/2023,Tuesday,13400,13100,97.76%,300,0:00:14,0:02:23,0:01:39,81.34%
3/28/2023,Wednesday,12500,12000,96.00%,500,0:00:14,0:02:20,0:02:52,84.55%
3/29/2023,Thursday,16700,16300,97.60%,400,0:00:16,0:02:24,0:01:12,81.21%
3/30/2023,Friday,16900,16700,98.82%,200,0:00:09,0:02:14,0:01:44,89.94%
3/31/2023,Saturday,16200,16000,98.77%,200,0:00:16,0:02:15,0:01:31,83.13%
4/1/2023,Sunday,19700,2500,100.00%,17200,0:00:16,0:02:35,0:00:58,76.00%
4/2/2023,Monday,15700,14600,92.99%,1100,0:00:17,0:02:17,0:01:51,79.74%
4/3/2023,Tuesday,16600,15400,92.77%,1200,0:00:25,0:02:18,0:03:39,66.26%
4/4/2023,Wednesday,19700,5500,94.83%,14200,0:00:16,0:02:11,0:02:45,74.14%
4/5/2023,Thursday,19700,7400,98.67%,12300,0:00:15,0:02:13,0:03:18,84.00%
4/6/2023,Friday,19700,2800,100.00%,16900,0:00:07,0:02:28,0:00:51,96.43%
4/7/2023,Saturday,10800,10700,99.07%,100,0:00:09,0:02:11,0:00:59,94.44%
4/8/2023,Sunday,19700,2100,100.00%,17600,0:00:07,0:02:58,0:00:58,95.24%
4/9/2023,Monday,18900,18200,96.30%,700,0:00:21,0:02:10,0:04:46,76.34%
4/10/2023,Tuesday,16100,15500,96.27%,600,0:00:19,0:02:27,0:01:50,71.88%
4/11/2023,Wednesday,15500,15100,97.42%,400,0:00:17,0:02:20,0:01:49,80.52%
4/12/2023,Thursday,16100,15000,93.17%,1100,0:00:17,0:02:22,0:02:45,75.32%
4/13/2023,Friday,13200,12900,97.73%,300,0:00:27,0:02:22,0:02:34,65.15%
4/14/2023,Saturday,12200,11900,97.54%,300,0:00:16,0:02:24,0:01:50,80.00%
4/15/2023,Sunday,19700,1700,100.00%,18000,0:00:21,0:02:40,0:00:58,76.47%
4/16/2023,Monday,19700,4500,100.00%,15200,0:00:06,0:02:06,0:00:57,95.56%
4/17/2023,Tuesday,17700,17200,97.18%,500,0:00:20,0:02:23,0:02:51,76.00%
4/18/2023,Wednesday,13300,13200,99.25%,100,0:00:10,0:02:25,0:00:59,93.23%
4/19/2023,Thursday,,,,,,,,
4/20/2023,Friday,12700,12400,97.64%,300,0:00:16,0:02:22,0:01:45,81.89%
4/21/2023,Saturday,14800,14700,99.32%,100,0:00:16,0:02:11,0:03:11,83.11%
4/22/2023,Sunday,19700,2300,100.00%,17400,0:00:32,0:02:02,0:02:43,65.22%
4/23/2023,Monday,14100,13400,95.04%,700,0:00:24,0:02:38,0:02:29,72.14%
4/24/2023,Tuesday,12400,12000,96.77%,400,0:00:20,0:02:33,0:02:58,82.26%
4/25/2023,Wednesday,16500,15600,94.55%,900,0:00:25,0:02:21,0:02:38,70.55%
4/26/2023,Thursday,16800,16600,98.81%,200,0:00:21,0:02:33,0:03:43,80.12%
4/27/2023,Friday,19800,18800,94.95%,1000,0:00:22,0:02:32,0:02:45,70.92%
4/28/2023,Saturday,13900,13300,95.68%,600,0:00:17,0:02:40,0:03:03,80.15%
4/29/2023,Sunday,19700,4500,97.83%,15200,0:00:10,0:02:14,0:01:16,88.89%
4/30/2023,Monday,18400,17400,94.57%,1000,0:00:23,0:02:37,0:04:35,76.54%
5/1/2023,Tuesday,20700,19000,91.79%,1700,0:00:21,0:02:23,0:04:06,71.36%
5/2/2023,Wednesday,19100,18000,94.24%,1100,0:00:21,0:02:32,0:01:53,76.50%
5/3/2023,Thursday,21300,20400,95.77%,900,0:00:24,0:02:26,0:02:46,69.67%
5/4/2023,Friday,30000,45100,93.37%,-15100,0:00:16,0:00:57,0:08:45,79.20%
5/5/2023,Saturday,30000,52600,96.16%,-22600,0:00:19,0:01:21,0:03:54,81.58%
5/6/2023,Sunday,19700,5300,98.15%,14400,0:00:25,0:02:36,0:01:18,70.37%
5/7/2023,Monday,27500,26100,94.91%,1400,0:00:22,0:02:13,0:02:12,74.44%
5/8/2023,Tuesday,20500,19500,95.12%,1000,0:00:24,0:02:34,0:03:00,70.79%
5/9/2023,Wednesday,19700,7700,96.25%,12000,0:00:10,0:02:11,0:01:33,89.61%
5/10/2023,Thursday,20000,19500,97.50%,500,0:00:21,0:02:30,0:02:48,75.25%
5/11/2023,Friday,15400,15000,97.40%,400,0:00:21,0:02:29,0:02:45,74.34%
5/12/2023,Saturday,16300,15500,95.09%,800,0:00:23,0:02:18,0:02:26,74.52%
5/13/2023,Sunday,19700,1200,100.00%,18500,0:00:25,0:03:37,0:01:28,66.67%
5/14/2023,Monday,21800,21200,97.25%,600,0:00:20,0:01:56,0:04:11,75.93%
5/15/2023,Tuesday,17200,16300,94.77%,900,0:00:18,0:02:09,0:01:53,81.93%
5/16/2023,Wednesday,20500,19400,94.63%,1100,0:00:18,0:02:24,0:01:41,80.60%
5/17/2023,Thursday,17800,16800,94.38%,1000,0:00:23,0:02:28,0:02:50,68.97%
5/18/2023,Friday,21400,20100,93.93%,1300,0:00:23,0:02:11,0:02:24,66.03%
5/19/2023,Saturday,16900,16100,95.27%,800,0:00:23,0:02:17,0:04:35,71.69%
5/20/2023,Sunday,19700,4600,100.00%,15100,0:00:25,0:02:24,0:01:35,71.74%
5/21/2023,Monday,18300,17700,96.72%,600,0:00:18,0:02:30,0:01:07,81.11%
5/22/2023,Tuesday,20800,19000,91.35%,1800,0:00:21,0:02:25,0:01:50,74.11%
5/23/2023,Wednesday,23400,22400,95.73%,1000,0:00:22,0:02:15,0:03:20,74.14%
5/24/2023,Thursday,20400,19400,95.10%,1000,0:00:18,0:02:17,0:01:50,78.71%
5/25/2023,Friday,20400,18900,92.65%,1500,0:00:21,0:02:15,0:03:56,70.79%
5/26/2023,Saturday,19700,9900,100.00%,9800,0:00:16,0:02:25,0:01:02,82.83%
5/27/2023,Sunday,19700,2700,93.10%,17000,0:00:19,0:02:47,0:02:22,78.57%
5/28/2023,Monday,16700,15900,95.21%,800,0:00:23,0:02:28,0:04:35,70.48%
5/29/2023,Tuesday,16400,16100,98.17%,300,0:00:17,0:02:35,0:01:37,81.71%
5/30/2023,Wednesday,15800,14700,93.04%,1100,0:00:21,0:02:34,0:02:03,72.44%
5/31/2023,Thursday,16500,16100,97.58%,400,0:00:17,0:02:26,0:01:06,77.91%
